Prefix Length,Determiners,Prompt,Answer,Correct
3,three-three,"Half of the cupcakes are delicious. Are three of the cupcakes delicious? Maybe.
The woman liked none of the sweaters. Did the woman like two of the sweaters? No.
The man saw some of the mugs. Did the man see more than one of the mugs? Yes.
Three of the chocolates are sold out. Are three of the chocolates sold out?", Yes.,1
3,at least two-at least two,"Half of the cupcakes are delicious. Are three of the cupcakes delicious? Maybe.
The woman liked none of the sweaters. Did the woman like two of the sweaters? No.
The man saw some of the mugs. Did the man see more than one of the mugs? Yes.
Bill saw at least two of the churros. Did Bill see at least two of the churros?", Yes.,1
3,two-three,"The woman sold two of the peanuts. Did the woman sell all of the peanuts? Maybe.
Lucy liked two of the burgers. Did Lucy like more than one of the burgers? Yes.
Robin got exactly two of the scarves. Did Robin get one of the scarves? No.
Lucy ordered two of the cherries. Did Lucy order three of the cherries?", No.,1
3,three-two,"The woman sold two of the peanuts. Did the woman sell all of the peanuts? Maybe.
Lucy liked two of the burgers. Did Lucy like more than one of the burgers? Yes.
Robin got exactly two of the scarves. Did Robin get one of the scarves? No.
Lucy owned three of the rings. Did Lucy own two of the rings?", No.,0
3,three-at least two,"The woman sold two of the peanuts. Did the woman sell all of the peanuts? Maybe.
Lucy liked two of the burgers. Did Lucy like more than one of the burgers? Yes.
Robin got exactly two of the scarves. Did Robin get one of the scarves? No.
Three of the hats are orange. Are at least two of the hats orange?", Yes.,1
3,at least two-three,"The woman sold two of the peanuts. Did the woman sell all of the peanuts? Maybe.
Lucy liked two of the burgers. Did Lucy like more than one of the burgers? Yes.
Robin got exactly two of the scarves. Did Robin get one of the scarves? No.
The actor owned at least two of the shoes. Did the actor own three of the shoes?", Maybe.,1
3,three-three,"The woman sold two of the peanuts. Did the woman sell all of the peanuts? Maybe.
Lucy liked two of the burgers. Did Lucy like more than one of the burgers? Yes.
Robin got exactly two of the scarves. Did Robin get one of the scarves? No.
The teacher liked three of the burgers. Did the teacher like three of the burgers?", Yes.,1
3,at least two-at least two,"The woman sold two of the peanuts. Did the woman sell all of the peanuts? Maybe.
Lucy liked two of the burgers. Did Lucy like more than one of the burgers? Yes.
Robin got exactly two of the scarves. Did Robin get one of the scarves? No.
Sidney liked at least two of the shirts. Did Sidney like at least two of the shirts?", Yes.,1
3,two-three,"Half of the pastries are warm. Are half of the pastries warm? Yes.
Laura bought most of the chocolates. Did Laura buy three of the chocolates? Maybe.
The singer wanted exactly two of the backpacks. Did the singer want one of the backpacks? No.
The teacher got two of the toys. Did the teacher get three of the toys?", No.,1
3,three-two,"Half of the pastries are warm. Are half of the pastries warm? Yes.
Laura bought most of the chocolates. Did Laura buy three of the chocolates? Maybe.
The singer wanted exactly two of the backpacks. Did the singer want one of the backpacks? No.
Three of the sandwiches are delicious. Are two of the sandwiches delicious?", Yes.,1
3,three-at least two,"Half of the pastries are warm. Are half of the pastries warm? Yes.
Laura bought most of the chocolates. Did Laura buy three of the chocolates? Maybe.
The singer wanted exactly two of the backpacks. Did the singer want one of the backpacks? No.
Sam sold three of the bottles. Did Sam sell at least two of the bottles?", Yes.,1
3,at least two-three,"Half of the pastries are warm. Are half of the pastries warm? Yes.
Laura bought most of the chocolates. Did Laura buy three of the chocolates? Maybe.
The singer wanted exactly two of the backpacks. Did the singer want one of the backpacks? No.
Mary saw at least two of the performers. Did Mary see three of the performers?", Maybe.,1
3,three-three,"Half of the pastries are warm. Are half of the pastries warm? Yes.
Laura bought most of the chocolates. Did Laura buy three of the chocolates? Maybe.
The singer wanted exactly two of the backpacks. Did the singer want one of the backpacks? No.
Three of the pretzels are expensive. Are three of the pretzels expensive?", Yes.,1
3,at least two-at least two,"Half of the pastries are warm. Are half of the pastries warm? Yes.
Laura bought most of the chocolates. Did Laura buy three of the chocolates? Maybe.
The singer wanted exactly two of the backpacks. Did the singer want one of the backpacks? No.
The woman wanted at least two of the keyrings. Did the woman want at least two of the keyrings?", Yes.,1
3,two-three,"The actor noticed half of the peanuts. Did the actor notice three of the peanuts? Maybe.
Two of the sandwiches are cold. Are some of the sandwiches cold? Yes.
Sam got all of the pretzels. Did Sam get none of the pretzels? No.
Lucy liked two of the apples. Did Lucy like three of the apples?", No.,1
3,three-two,"The actor noticed half of the peanuts. Did the actor notice three of the peanuts? Maybe.
Two of the sandwiches are cold. Are some of the sandwiches cold? Yes.
Sam got all of the pretzels. Did Sam get none of the pretzels? No.
Lucy ate three of the chocolates. Did Lucy eat two of the chocolates?", Maybe.,0
3,three-at least two,"The actor noticed half of the peanuts. Did the actor notice three of the peanuts? Maybe.
Two of the sandwiches are cold. Are some of the sandwiches cold? Yes.
Sam got all of the pretzels. Did Sam get none of the pretzels? No.
Bill got three of the mugs. Did Bill get at least two of the mugs?", Yes.,1
3,at least two-three,"The actor noticed half of the peanuts. Did the actor notice three of the peanuts? Maybe.
Two of the sandwiches are cold. Are some of the sandwiches cold? Yes.
Sam got all of the pretzels. Did Sam get none of the pretzels? No.
Sophie sold at least two of the hats. Did Sophie sell three of the hats?", Maybe.,1
3,three-three,"The actor noticed half of the peanuts. Did the actor notice three of the peanuts? Maybe.
Two of the sandwiches are cold. Are some of the sandwiches cold? Yes.
Sam got all of the pretzels. Did Sam get none of the pretzels? No.
Bill bought three of the scarves. Did Bill buy three of the scarves?", Yes.,1
3,at least two-at least two,"The actor noticed half of the peanuts. Did the actor notice three of the peanuts? Maybe.
Two of the sandwiches are cold. Are some of the sandwiches cold? Yes.
Sam got all of the pretzels. Did Sam get none of the pretzels? No.
Jim got at least two of the apples. Did Jim get at least two of the apples?", Yes.,1
3,two-three,"Sophie spotted three of the dogs. Did Sophie spot more than two of the dogs? Yes.
Sidney spotted exactly two of the adverts. Did Sidney spot one of the adverts? No.
John ordered two of the toys. Did John order all of the toys? Maybe.
Laura saw two of the cats. Did Laura see three of the cats?", No.,1
3,three-two,"Sophie spotted three of the dogs. Did Sophie spot more than two of the dogs? Yes.
Sidney spotted exactly two of the adverts. Did Sidney spot one of the adverts? No.
John ordered two of the toys. Did John order all of the toys? Maybe.
Lucy ate three of the pretzels. Did Lucy eat two of the pretzels?", No.,0
3,three-at least two,"Sophie spotted three of the dogs. Did Sophie spot more than two of the dogs? Yes.
Sidney spotted exactly two of the adverts. Did Sidney spot one of the adverts? No.
John ordered two of the toys. Did John order all of the toys? Maybe.
Bill spotted three of the pastries. Did Bill spot at least two of the pastries?", Yes.,1
3,at least two-three,"Sophie spotted three of the dogs. Did Sophie spot more than two of the dogs? Yes.
Sidney spotted exactly two of the adverts. Did Sidney spot one of the adverts? No.
John ordered two of the toys. Did John order all of the toys? Maybe.
Robin bought at least two of the cherries. Did Robin buy three of the cherries?", No.,0
3,three-three,"Sophie spotted three of the dogs. Did Sophie spot more than two of the dogs? Yes.
Sidney spotted exactly two of the adverts. Did Sidney spot one of the adverts? No.
John ordered two of the toys. Did John order all of the toys? Maybe.
The actress saw three of the adverts. Did the actress see three of the adverts?", Yes.,1
3,at least two-at least two,"Sophie spotted three of the dogs. Did Sophie spot more than two of the dogs? Yes.
Sidney spotted exactly two of the adverts. Did Sidney spot one of the adverts? No.
John ordered two of the toys. Did John order all of the toys? Maybe.
The man saw at least two of the mugs. Did the man see at least two of the mugs?", Yes.,1
3,two-three,"Jim ate both of the strawberries. Did Jim eat both of the strawberries? Yes.
Michael got most of the bagels. Did Michael get none of the bagels? No.
Laura sold two of the cupcakes. Did Laura sell all of the cupcakes? Maybe.
Sidney had two of the pancakes. Did Sidney have three of the pancakes?", No.,1
3,three-two,"Jim ate both of the strawberries. Did Jim eat both of the strawberries? Yes.
Michael got most of the bagels. Did Michael get none of the bagels? No.
Laura sold two of the cupcakes. Did Laura sell all of the cupcakes? Maybe.
Sally purchased three of the toys. Did Sally purchase two of the toys?", No.,0
3,three-at least two,"Jim ate both of the strawberries. Did Jim eat both of the strawberries? Yes.
Michael got most of the bagels. Did Michael get none of the bagels? No.
Laura sold two of the cupcakes. Did Laura sell all of the cupcakes? Maybe.
Three of the bagels are cheap. Are at least two of the bagels cheap?", Yes.,1
3,at least two-three,"Jim ate both of the strawberries. Did Jim eat both of the strawberries? Yes.
Michael got most of the bagels. Did Michael get none of the bagels? No.
Laura sold two of the cupcakes. Did Laura sell all of the cupcakes? Maybe.
Sidney saw at least two of the strawberries. Did Sidney see three of the strawberries?", Maybe.,1
3,three-three,"Jim ate both of the strawberries. Did Jim eat both of the strawberries? Yes.
Michael got most of the bagels. Did Michael get none of the bagels? No.
Laura sold two of the cupcakes. Did Laura sell all of the cupcakes? Maybe.
Robin purchased three of the chocolates. Did Robin purchase three of the chocolates?", No.,0
3,at least two-at least two,"Jim ate both of the strawberries. Did Jim eat both of the strawberries? Yes.
Michael got most of the bagels. Did Michael get none of the bagels? No.
Laura sold two of the cupcakes. Did Laura sell all of the cupcakes? Maybe.
Mark ordered at least two of the toys. Did Mark order at least two of the toys?", Maybe.,0
3,two-three,"Most of the pancakes are impressive. Are none of the pancakes impressive? No.
Both of the bottles are red. Are both of the bottles red? Yes.
Robin got most of the peanuts. Did Robin get three of the peanuts? Maybe.
Michael spotted two of the shirts. Did Michael spot three of the shirts?", No.,1
3,three-two,"Most of the pancakes are impressive. Are none of the pancakes impressive? No.
Both of the bottles are red. Are both of the bottles red? Yes.
Robin got most of the peanuts. Did Robin get three of the peanuts? Maybe.
The actress bought three of the shoes. Did the actress buy two of the shoes?", No.,0
3,three-at least two,"Most of the pancakes are impressive. Are none of the pancakes impressive? No.
Both of the bottles are red. Are both of the bottles red? Yes.
Robin got most of the peanuts. Did Robin get three of the peanuts? Maybe.
Sam got three of the mugs. Did Sam get at least two of the mugs?", Yes.,1
3,at least two-three,"Most of the pancakes are impressive. Are none of the pancakes impressive? No.
Both of the bottles are red. Are both of the bottles red? Yes.
Robin got most of the peanuts. Did Robin get three of the peanuts? Maybe.
Sophie owned at least two of the toys. Did Sophie own three of the toys?", No.,0
3,three-three,"Most of the pancakes are impressive. Are none of the pancakes impressive? No.
Both of the bottles are red. Are both of the bottles red? Yes.
Robin got most of the peanuts. Did Robin get three of the peanuts? Maybe.
John owned three of the cakes. Did John own three of the cakes?", No.,0
3,at least two-at least two,"Most of the pancakes are impressive. Are none of the pancakes impressive? No.
Both of the bottles are red. Are both of the bottles red? Yes.
Robin got most of the peanuts. Did Robin get three of the peanuts? Maybe.
At least two of the umbrellas are green. Are at least two of the umbrellas green?", Yes.,1
3,two-three,"The man bought most of the umbrellas. Did the man buy three of the umbrellas? Maybe.
Exactly two of the cherries are on sale. Are three of the cherries on sale? No.
The actress purchased some of the cherries. Did the actress purchase two of the cherries? Yes.
Two of the tickets are blue. Are three of the tickets blue?", No.,1
3,three-two,"The man bought most of the umbrellas. Did the man buy three of the umbrellas? Maybe.
Exactly two of the cherries are on sale. Are three of the cherries on sale? No.
The actress purchased some of the cherries. Did the actress purchase two of the cherries? Yes.
The actress ate three of the bagels. Did the actress eat two of the bagels?", No.,0
3,three-at least two,"The man bought most of the umbrellas. Did the man buy three of the umbrellas? Maybe.
Exactly two of the cherries are on sale. Are three of the cherries on sale? No.
The actress purchased some of the cherries. Did the actress purchase two of the cherries? Yes.
The actress got three of the bottles. Did the actress get at least two of the bottles?", Yes.,1
3,at least two-three,"The man bought most of the umbrellas. Did the man buy three of the umbrellas? Maybe.
Exactly two of the cherries are on sale. Are three of the cherries on sale? No.
The actress purchased some of the cherries. Did the actress purchase two of the cherries? Yes.
The actress got at least two of the strawberries. Did the actress get three of the strawberries?", No.,0
3,three-three,"The man bought most of the umbrellas. Did the man buy three of the umbrellas? Maybe.
Exactly two of the cherries are on sale. Are three of the cherries on sale? No.
The actress purchased some of the cherries. Did the actress purchase two of the cherries? Yes.
Bill got three of the sandwiches. Did Bill get three of the sandwiches?", Yes.,1
3,at least two-at least two,"The man bought most of the umbrellas. Did the man buy three of the umbrellas? Maybe.
Exactly two of the cherries are on sale. Are three of the cherries on sale? No.
The actress purchased some of the cherries. Did the actress purchase two of the cherries? Yes.
Sophie bought at least two of the pancakes. Did Sophie buy at least two of the pancakes?", Yes.,1
3,two-three,"Jo got some of the pretzels. Did Jo get two of the pretzels? Yes.
The singer sold most of the pastries. Did the singer sell none of the pastries? No.
Sophie purchased two of the scarves. Did Sophie purchase all of the scarves? Maybe.
Two of the shirts are red. Are three of the shirts red?", No.,1
3,three-two,"Jo got some of the pretzels. Did Jo get two of the pretzels? Yes.
The singer sold most of the pastries. Did the singer sell none of the pastries? No.
Sophie purchased two of the scarves. Did Sophie purchase all of the scarves? Maybe.
Mark wanted three of the sweaters. Did Mark want two of the sweaters?", No.,0
3,three-at least two,"Jo got some of the pretzels. Did Jo get two of the pretzels? Yes.
The singer sold most of the pastries. Did the singer sell none of the pastries? No.
Sophie purchased two of the scarves. Did Sophie purchase all of the scarves? Maybe.
Three of the backpacks are orange. Are at least two of the backpacks orange?", Yes.,1
3,at least two-three,"Jo got some of the pretzels. Did Jo get two of the pretzels? Yes.
The singer sold most of the pastries. Did the singer sell none of the pastries? No.
Sophie purchased two of the scarves. Did Sophie purchase all of the scarves? Maybe.
Michael spotted at least two of the pastries. Did Michael spot three of the pastries?", Maybe.,1
3,three-three,"Jo got some of the pretzels. Did Jo get two of the pretzels? Yes.
The singer sold most of the pastries. Did the singer sell none of the pastries? No.
Sophie purchased two of the scarves. Did Sophie purchase all of the scarves? Maybe.
The man saw three of the giraffes. Did the man see three of the giraffes?", Yes.,1
3,at least two-at least two,"Jo got some of the pretzels. Did Jo get two of the pretzels? Yes.
The singer sold most of the pastries. Did the singer sell none of the pastries? No.
Sophie purchased two of the scarves. Did Sophie purchase all of the scarves? Maybe.
At least two of the keyrings are yellow. Are at least two of the keyrings yellow?", Yes.,1
3,two-three,"Jim ordered two of the snacks. Did Jim order all of the snacks? Maybe.
Some of the cherries are delicious. Are two of the cherries delicious? Yes.
The actress ate several of the strawberries. Did the actress eat none of the strawberries? No.
John noticed two of the oranges. Did John notice three of the oranges?", No.,1
3,three-two,"Jim ordered two of the snacks. Did Jim order all of the snacks? Maybe.
Some of the cherries are delicious. Are two of the cherries delicious? Yes.
The actress ate several of the strawberries. Did the actress eat none of the strawberries? No.
Mark had three of the cars. Did Mark have two of the cars?", No.,0
3,three-at least two,"Jim ordered two of the snacks. Did Jim order all of the snacks? Maybe.
Some of the cherries are delicious. Are two of the cherries delicious? Yes.
The actress ate several of the strawberries. Did the actress eat none of the strawberries? No.
Sidney spotted three of the scarves. Did Sidney spot at least two of the scarves?", Yes.,1
3,at least two-three,"Jim ordered two of the snacks. Did Jim order all of the snacks? Maybe.
Some of the cherries are delicious. Are two of the cherries delicious? Yes.
The actress ate several of the strawberries. Did the actress eat none of the strawberries? No.
The woman had at least two of the cherries. Did the woman have three of the cherries?", No.,0
3,three-three,"Jim ordered two of the snacks. Did Jim order all of the snacks? Maybe.
Some of the cherries are delicious. Are two of the cherries delicious? Yes.
The actress ate several of the strawberries. Did the actress eat none of the strawberries? No.
Michael noticed three of the strawberries. Did Michael notice three of the strawberries?", Yes.,1
3,at least two-at least two,"Jim ordered two of the snacks. Did Jim order all of the snacks? Maybe.
Some of the cherries are delicious. Are two of the cherries delicious? Yes.
The actress ate several of the strawberries. Did the actress eat none of the strawberries? No.
Adam saw at least two of the cakes. Did Adam see at least two of the cakes?", Yes.,1
3,two-three,"Mary purchased two of the cars. Did Mary purchase more than one of the cars? Yes.
Robin saw several of the stores. Did Robin see none of the stores? No.
Half of the stores are impressive. Are three of the stores impressive? Maybe.
Two of the backpacks are yellow. Are three of the backpacks yellow?", No.,1
3,three-two,"Mary purchased two of the cars. Did Mary purchase more than one of the cars? Yes.
Robin saw several of the stores. Did Robin see none of the stores? No.
Half of the stores are impressive. Are three of the stores impressive? Maybe.
Three of the sandwiches are on sale. Are two of the sandwiches on sale?", No.,0
3,three-at least two,"Mary purchased two of the cars. Did Mary purchase more than one of the cars? Yes.
Robin saw several of the stores. Did Robin see none of the stores? No.
Half of the stores are impressive. Are three of the stores impressive? Maybe.
Adam bought three of the keyrings. Did Adam buy at least two of the keyrings?", Yes.,1
3,at least two-three,"Mary purchased two of the cars. Did Mary purchase more than one of the cars? Yes.
Robin saw several of the stores. Did Robin see none of the stores? No.
Half of the stores are impressive. Are three of the stores impressive? Maybe.
Mark bought at least two of the hats. Did Mark buy three of the hats?", Maybe.,1
3,three-three,"Mary purchased two of the cars. Did Mary purchase more than one of the cars? Yes.
Robin saw several of the stores. Did Robin see none of the stores? No.
Half of the stores are impressive. Are three of the stores impressive? Maybe.
Sophie bought three of the churros. Did Sophie buy three of the churros?", Yes.,1
3,at least two-at least two,"Mary purchased two of the cars. Did Mary purchase more than one of the cars? Yes.
Robin saw several of the stores. Did Robin see none of the stores? No.
Half of the stores are impressive. Are three of the stores impressive? Maybe.
The actor ordered at least two of the burgers. Did the actor order at least two of the burgers?", Yes.,1
3,two-three,"Laura noticed two of the cupcakes. Did Laura notice half of the cupcakes? Maybe.
Three of the burgers are expensive. Are more than two of the burgers expensive? Yes.
The singer ate most of the peanuts. Did the singer eat none of the peanuts? No.
Two of the cats are colourful. Are three of the cats colourful?", No.,1
3,three-two,"Laura noticed two of the cupcakes. Did Laura notice half of the cupcakes? Maybe.
Three of the burgers are expensive. Are more than two of the burgers expensive? Yes.
The singer ate most of the peanuts. Did the singer eat none of the peanuts? No.
Sally got three of the cars. Did Sally get two of the cars?", Yes.,1
3,three-at least two,"Laura noticed two of the cupcakes. Did Laura notice half of the cupcakes? Maybe.
Three of the burgers are expensive. Are more than two of the burgers expensive? Yes.
The singer ate most of the peanuts. Did the singer eat none of the peanuts? No.
The actor got three of the bottles. Did the actor get at least two of the bottles?", Yes.,1
3,at least two-three,"Laura noticed two of the cupcakes. Did Laura notice half of the cupcakes? Maybe.
Three of the burgers are expensive. Are more than two of the burgers expensive? Yes.
The singer ate most of the peanuts. Did the singer eat none of the peanuts? No.
Robin ordered at least two of the hats. Did Robin order three of the hats?", Yes.,0
3,three-three,"Laura noticed two of the cupcakes. Did Laura notice half of the cupcakes? Maybe.
Three of the burgers are expensive. Are more than two of the burgers expensive? Yes.
The singer ate most of the peanuts. Did the singer eat none of the peanuts? No.
The actor ordered three of the scarves. Did the actor order three of the scarves?", Yes.,1
3,at least two-at least two,"Laura noticed two of the cupcakes. Did Laura notice half of the cupcakes? Maybe.
Three of the burgers are expensive. Are more than two of the burgers expensive? Yes.
The singer ate most of the peanuts. Did the singer eat none of the peanuts? No.
At least two of the burgers are cold. Are at least two of the burgers cold?", Yes.,1
3,two-three,"The teacher purchased half of the shoes. Did the teacher purchase three of the shoes? Maybe.
All of the keyrings are on sale. Are none of the keyrings on sale? No.
Some of the hats are yellow. Are two of the hats yellow? Yes.
Two of the toys are green. Are three of the toys green?", No.,1
3,three-two,"The teacher purchased half of the shoes. Did the teacher purchase three of the shoes? Maybe.
All of the keyrings are on sale. Are none of the keyrings on sale? No.
Some of the hats are yellow. Are two of the hats yellow? Yes.
The actor ate three of the snacks. Did the actor eat two of the snacks?", Maybe.,0
3,three-at least two,"The teacher purchased half of the shoes. Did the teacher purchase three of the shoes? Maybe.
All of the keyrings are on sale. Are none of the keyrings on sale? No.
Some of the hats are yellow. Are two of the hats yellow? Yes.
Ann sold three of the scarves. Did Ann sell at least two of the scarves?", Yes.,1
3,at least two-three,"The teacher purchased half of the shoes. Did the teacher purchase three of the shoes? Maybe.
All of the keyrings are on sale. Are none of the keyrings on sale? No.
Some of the hats are yellow. Are two of the hats yellow? Yes.
Sally spotted at least two of the scarves. Did Sally spot three of the scarves?", Maybe.,1
3,three-three,"The teacher purchased half of the shoes. Did the teacher purchase three of the shoes? Maybe.
All of the keyrings are on sale. Are none of the keyrings on sale? No.
Some of the hats are yellow. Are two of the hats yellow? Yes.
Three of the snacks are colourful. Are three of the snacks colourful?", Yes.,1
3,at least two-at least two,"The teacher purchased half of the shoes. Did the teacher purchase three of the shoes? Maybe.
All of the keyrings are on sale. Are none of the keyrings on sale? No.
Some of the hats are yellow. Are two of the hats yellow? Yes.
Michael liked at least two of the cherries. Did Michael like at least two of the cherries?", Yes.,1
3,two-three,"Jo noticed all of the cats. Did Jo notice none of the cats? No.
Sophie liked half of the scarves. Did Sophie like some of the scarves? Yes.
Mary ate most of the cherries. Did Mary eat three of the cherries? Maybe.
Laura liked two of the candles. Did Laura like three of the candles?", No.,1
3,three-two,"Jo noticed all of the cats. Did Jo notice none of the cats? No.
Sophie liked half of the scarves. Did Sophie like some of the scarves? Yes.
Mary ate most of the cherries. Did Mary eat three of the cherries? Maybe.
Jo owned three of the backpacks. Did Jo own two of the backpacks?", No.,0
3,three-at least two,"Jo noticed all of the cats. Did Jo notice none of the cats? No.
Sophie liked half of the scarves. Did Sophie like some of the scarves? Yes.
Mary ate most of the cherries. Did Mary eat three of the cherries? Maybe.
Lucy bought three of the chocolates. Did Lucy buy at least two of the chocolates?", Yes.,1
3,at least two-three,"Jo noticed all of the cats. Did Jo notice none of the cats? No.
Sophie liked half of the scarves. Did Sophie like some of the scarves? Yes.
Mary ate most of the cherries. Did Mary eat three of the cherries? Maybe.
Bill purchased at least two of the cakes. Did Bill purchase three of the cakes?", No.,0
3,three-three,"Jo noticed all of the cats. Did Jo notice none of the cats? No.
Sophie liked half of the scarves. Did Sophie like some of the scarves? Yes.
Mary ate most of the cherries. Did Mary eat three of the cherries? Maybe.
Three of the hats are green. Are three of the hats green?", Yes.,1
3,at least two-at least two,"Jo noticed all of the cats. Did Jo notice none of the cats? No.
Sophie liked half of the scarves. Did Sophie like some of the scarves? Yes.
Mary ate most of the cherries. Did Mary eat three of the cherries? Maybe.
The woman saw at least two of the shirts. Did the woman see at least two of the shirts?", Yes.,1
3,two-three,"Three of the backpacks are red. Are more than two of the backpacks red? Yes.
Bill had several of the snacks. Did Bill have none of the snacks? No.
Sidney wanted half of the oranges. Did Sidney want three of the oranges? Maybe.
Robin ordered two of the strawberries. Did Robin order three of the strawberries?", No.,1
3,three-two,"Three of the backpacks are red. Are more than two of the backpacks red? Yes.
Bill had several of the snacks. Did Bill have none of the snacks? No.
Sidney wanted half of the oranges. Did Sidney want three of the oranges? Maybe.
The man got three of the umbrellas. Did the man get two of the umbrellas?", No.,0
3,three-at least two,"Three of the backpacks are red. Are more than two of the backpacks red? Yes.
Bill had several of the snacks. Did Bill have none of the snacks? No.
Sidney wanted half of the oranges. Did Sidney want three of the oranges? Maybe.
John ate three of the oranges. Did John eat at least two of the oranges?", Yes.,1
3,at least two-three,"Three of the backpacks are red. Are more than two of the backpacks red? Yes.
Bill had several of the snacks. Did Bill have none of the snacks? No.
Sidney wanted half of the oranges. Did Sidney want three of the oranges? Maybe.
Laura ordered at least two of the cars. Did Laura order three of the cars?", No.,0
3,three-three,"Three of the backpacks are red. Are more than two of the backpacks red? Yes.
Bill had several of the snacks. Did Bill have none of the snacks? No.
Sidney wanted half of the oranges. Did Sidney want three of the oranges? Maybe.
Jo noticed three of the churros. Did Jo notice three of the churros?", Maybe.,0
3,at least two-at least two,"Three of the backpacks are red. Are more than two of the backpacks red? Yes.
Bill had several of the snacks. Did Bill have none of the snacks? No.
Sidney wanted half of the oranges. Did Sidney want three of the oranges? Maybe.
At least two of the burgers are mouldy. Are at least two of the burgers mouldy?", Yes.,1
3,two-three,"The actor spotted some of the tickets. Did the actor spot more than one of the tickets? Yes.
The singer wanted most of the pancakes. Did the singer want three of the pancakes? Maybe.
The actor purchased most of the peanuts. Did the actor purchase none of the peanuts? No.
The singer spotted two of the peanuts. Did the singer spot three of the peanuts?", No.,1
3,three-two,"The actor spotted some of the tickets. Did the actor spot more than one of the tickets? Yes.
The singer wanted most of the pancakes. Did the singer want three of the pancakes? Maybe.
The actor purchased most of the peanuts. Did the actor purchase none of the peanuts? No.
The woman bought three of the cherries. Did the woman buy two of the cherries?", Maybe.,0
3,three-at least two,"The actor spotted some of the tickets. Did the actor spot more than one of the tickets? Yes.
The singer wanted most of the pancakes. Did the singer want three of the pancakes? Maybe.
The actor purchased most of the peanuts. Did the actor purchase none of the peanuts? No.
The singer sold three of the rings. Did the singer sell at least two of the rings?", Yes.,1
3,at least two-three,"The actor spotted some of the tickets. Did the actor spot more than one of the tickets? Yes.
The singer wanted most of the pancakes. Did the singer want three of the pancakes? Maybe.
The actor purchased most of the peanuts. Did the actor purchase none of the peanuts? No.
Adam had at least two of the chocolates. Did Adam have three of the chocolates?", Maybe.,1
3,three-three,"The actor spotted some of the tickets. Did the actor spot more than one of the tickets? Yes.
The singer wanted most of the pancakes. Did the singer want three of the pancakes? Maybe.
The actor purchased most of the peanuts. Did the actor purchase none of the peanuts? No.
Mark noticed three of the cupcakes. Did Mark notice three of the cupcakes?", Yes.,1
3,at least two-at least two,"The actor spotted some of the tickets. Did the actor spot more than one of the tickets? Yes.
The singer wanted most of the pancakes. Did the singer want three of the pancakes? Maybe.
The actor purchased most of the peanuts. Did the actor purchase none of the peanuts? No.
Michael spotted at least two of the shoes. Did Michael spot at least two of the shoes?", Yes.,1
3,two-three,"Sidney owned two of the scarves. Did Sidney own all of the scarves? Maybe.
Exactly two of the hats are orange. Are one of the hats orange? No.
Sophie bought three of the keyrings. Did Sophie buy more than two of the keyrings? Yes.
Two of the backpacks are yellow. Are three of the backpacks yellow?", No.,1
3,three-two,"Sidney owned two of the scarves. Did Sidney own all of the scarves? Maybe.
Exactly two of the hats are orange. Are one of the hats orange? No.
Sophie bought three of the keyrings. Did Sophie buy more than two of the keyrings? Yes.
Mark owned three of the strawberries. Did Mark own two of the strawberries?", No.,0
3,three-at least two,"Sidney owned two of the scarves. Did Sidney own all of the scarves? Maybe.
Exactly two of the hats are orange. Are one of the hats orange? No.
Sophie bought three of the keyrings. Did Sophie buy more than two of the keyrings? Yes.
Michael got three of the sweaters. Did Michael get at least two of the sweaters?", Yes.,1
3,at least two-three,"Sidney owned two of the scarves. Did Sidney own all of the scarves? Maybe.
Exactly two of the hats are orange. Are one of the hats orange? No.
Sophie bought three of the keyrings. Did Sophie buy more than two of the keyrings? Yes.
Sally ate at least two of the pastries. Did Sally eat three of the pastries?", No.,0
3,three-three,"Sidney owned two of the scarves. Did Sidney own all of the scarves? Maybe.
Exactly two of the hats are orange. Are one of the hats orange? No.
Sophie bought three of the keyrings. Did Sophie buy more than two of the keyrings? Yes.
The actress liked three of the pretzels. Did the actress like three of the pretzels?", No.,0
3,at least two-at least two,"Sidney owned two of the scarves. Did Sidney own all of the scarves? Maybe.
Exactly two of the hats are orange. Are one of the hats orange? No.
Sophie bought three of the keyrings. Did Sophie buy more than two of the keyrings? Yes.
Robin noticed at least two of the hats. Did Robin notice at least two of the hats?", Yes.,1
3,two-three,"Sophie purchased most of the rings. Did Sophie purchase none of the rings? No.
Sam spotted half of the pastries. Did Sam spot some of the pastries? Yes.
Two of the mugs are cheap. Are half of the mugs cheap? Maybe.
Adam owned two of the umbrellas. Did Adam own three of the umbrellas?", No.,1
3,three-two,"Sophie purchased most of the rings. Did Sophie purchase none of the rings? No.
Sam spotted half of the pastries. Did Sam spot some of the pastries? Yes.
Two of the mugs are cheap. Are half of the mugs cheap? Maybe.
Laura sold three of the tickets. Did Laura sell two of the tickets?", No.,0
3,three-at least two,"Sophie purchased most of the rings. Did Sophie purchase none of the rings? No.
Sam spotted half of the pastries. Did Sam spot some of the pastries? Yes.
Two of the mugs are cheap. Are half of the mugs cheap? Maybe.
The actor got three of the sandwiches. Did the actor get at least two of the sandwiches?", Yes.,1
3,at least two-three,"Sophie purchased most of the rings. Did Sophie purchase none of the rings? No.
Sam spotted half of the pastries. Did Sam spot some of the pastries? Yes.
Two of the mugs are cheap. Are half of the mugs cheap? Maybe.
Sam noticed at least two of the shirts. Did Sam notice three of the shirts?", No.,0
